Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
11,1,17,1,82,613,1,1,1
11,1,17,1,87,282,1,1,1
11,1,17,1,80,444,1,1,1
11,1,17,1,81,224,1,1,1
11,1,17,1,67,74,1,1,1
11,1,17,1,65,219,1,1,1
11,1,17,1,65,159,0,0,1
11,1,17,1,76,135,1,1,1
3,0,1,1,81,108,1,1,1
3,0,1,1,85,95,1,1,1
3,0,1,1,79,152,1,1,1
3,0,1,1,85,475,1,1,1
3,0,1,1,85,69,0,0,1
3,0,1,1,72,182,1,1,1
3,0,1,1,86,219,1,1,1
3,0,1,1,75,270,1,1,1
3,0,1,1,75,177,0,0,1
3,0,1,1,75,193,0,0,1
3,0,1,1,66,246,1,1,1
3,0,1,1,82,476,1,1,1
3,0,1,1,70,772,0,1,0
3,0,1,1,70,242,0,0,1
3,0,1,1,67,664,1,1,1
3,0,1,1,71,466,1,1,1
3,0,1,1,88,161,1,1,1
3,0,1,1,70,441,1,1,1
3,0,1,1,77,229,1,1,1
3,0,1,1,88,286,1,1,1
3,0,1,1,70,506,1,1,1
3,0,2,3,90,596,1,1,1
3,0,2,3,66,655,1,0,0
3,0,2,3,76,599,1,1,1
3,0,2,3,75,244,1,1,1
3,0,2,3,67,459,1,1,1
3,0,2,3,76,484,1,0,0
3,0,2,3,74,596,1,1,1
3,0,2,3,71,1031,1,1,1
3,0,2,3,70,1236,1,1,1
3,0,2,3,74,506,0,0,1
3,0,2,3,71,544,0,0,1
3,0,2,3,72,620,1,1,1
3,0,2,3,69,775,1,1,1
3,0,2,3,87,822,1,1,1
